<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	69.00	71.19	69.00	71.14	24	1510	1
2019.01.03	71.78	71.95	71.20	71.84	29	4930	1
2019.01.04	72.21	72.45	71.49	72.13	28	980	1
2019.01.07	71.90	71.92	71.31	71.47	26	1420	1
2019.01.08	71.76	71.87	71.51	71.86	30	900	1
2019.01.09	72.51	72.82	72.51	72.70	19	4430	1
2019.01.10	74.50	74.50	72.92	73.16	54	1000	1
2019.01.11	73.16	73.78	73.06	73.78	17	480	1
2019.01.14	73.78	74.66	73.78	74.43	29	1190	1
2019.01.15	75.50	76.50	74.15	74.22	15	460	1
2019.01.16	73.84	74.02	73.81	74.01	24	1000	1
2019.01.17	74.25	74.96	74.21	74.80	16	570	1
2019.01.18	76.00	76.00	75.20	75.30	23	1320	1
2019.01.21	76.00	76.31	75.79	76.30	29	1260	1
2019.01.22	76.38	76.56	76.07	76.07	24	2130	1
2019.01.23	76.00	77.22	76.00	77.03	13	520	1
2019.01.24	78.10	78.56	78.10	78.55	14	850	1
2019.01.28	78.48	79.14	78.47	79.13	36	2060	1
2019.01.29	79.34	79.34	79.08	79.25	14	1110	1
2019.01.30	79.23	79.23	78.51	78.51	14	560	1
2019.01.31	79.70	79.88	79.45	79.45	19	1130	1
2019.02.01	79.79	80.20	79.79	79.90	11	360	1
2019.02.04	80.00	80.51	79.91	80.51	4	180	1
2019.02.05	82.50	82.50	78.60	80.76	46	2160	1
2019.02.06	79.70	79.85	78.90	78.90	34	1840	1
2019.02.07	78.60	78.83	77.88	78.23	44	1440	1
2019.02.08	78.55	78.71	78.26	78.68	19	540	1
2019.02.11	80.65	80.65	78.45	78.62	56	2270	1
2019.02.12	79.05	79.52	78.98	79.32	8	460	1
2019.02.13	81.30	81.30	77.35	79.15	7	100	1
2019.02.14	78.77	78.82	78.70	78.70	3	80	1
2019.02.15	79.53	79.63	79.20	79.63	36	1770	1
2019.02.18	79.20	79.34	78.95	79.34	42	1990	1
2019.02.19	79.48	79.85	79.48	79.74	35	1360	1
2019.02.20	79.95	79.95	78.75	78.75	23	620	1
2019.02.21	78.65	78.65	78.12	78.52	23	5880	1
2019.02.22	80.50	80.50	78.34	79.12	19	510	1
2019.02.25	79.90	79.90	79.08	79.35	31	880	1
2019.02.26	79.55	79.59	79.04	79.23	17	3700	1
2019.02.27	78.95	79.76	78.75	79.76	24	3700	1
2019.02.28	79.26	79.26	78.61	78.98	27	5070	1
2019.03.01	78.40	78.72	78.23	78.43	21	3550	1
2019.03.06	77.86	77.86	77.47	77.71	37	3750	1
2019.03.07	77.40	77.47	76.89	77.47	33	930	1
2019.03.08	77.42	78.50	75.55	78.49	25	1540	1
2019.03.11	78.55	79.69	78.55	79.66	34	1400	1
2019.03.12	79.57	79.99	79.57	79.88	119	19190	1
2019.03.13	80.00	80.65	79.50	80.65	119	15210	1
2019.03.14	80.79	80.79	80.13	80.57	114	9830	1
2019.03.15	80.90	80.96	80.90	80.96	4	600	1
2019.03.18	81.25	81.33	81.03	81.25	11	5050	1
2019.03.19	81.27	81.50	77.20	81.00	33	5550	1
2019.03.20	77.20	80.93	77.20	79.93	41	7920	1
2019.03.21	78.02	78.41	77.96	77.96	31	5890	1
2019.03.22	77.96	77.96	76.48	76.77	60	25710	1
2019.03.25	77.05	77.26	76.80	76.80	25	6130	1
2019.03.26	78.15	78.15	78.15	78.15	1	1400	1
2019.03.27	77.70	77.70	75.39	75.41	19	5770	1
2019.03.28	76.41	77.53	76.41	77.31	31	12490	1
2019.03.29	78.06	78.27	78.05	78.27	18	3060	1
2019.04.01	78.53	78.74	78.49	78.74	38	4880	1
2019.04.02	78.40	78.40	77.95	77.95	5	1750	1
2019.04.03	78.71	78.91	78.33	78.33	25	5680	1
2019.04.04	78.33	79.22	77.80	79.00	30	3300	1
2019.04.05	77.01	80.58	76.02	79.69	39	1580	1
2019.04.08	80.10	80.16	80.04	80.16	8	3910	1
2019.04.09	79.70	79.70	78.64	78.66	27	2310	1
2019.04.10	78.48	78.60	77.76	77.76	11	510	1
2019.04.11	78.40	78.40	77.65	77.65	75	7160	1
2019.04.12	77.67	78.15	77.00	77.00	25	2400	1
2019.04.15	77.43	77.55	77.36	77.42	16	2080	1
2019.04.16	78.12	78.29	78.05	78.13	19	4250	1
2019.04.17	78.15	78.15	76.84	77.07	44	6480	1
2019.04.18	77.60	77.60	77.60	77.60	1	100	1
2019.04.22	76.76	77.57	76.76	77.28	21	2800	1
2019.04.23	78.50	78.90	78.41	78.64	73	9560	1
2019.04.24	77.16	78.29	75.51	78.29	92	9740	1
2019.04.25	78.00	79.03	78.00	79.00	70	10000	1
2019.04.26	78.70	78.72	78.44	78.54	58	4660	1
2019.04.29	78.75	78.95	78.75	78.95	3	1570	1
2019.04.30	78.42	78.79	78.42	78.79	3	1540	1
2019.05.02	78.42	78.42	77.96	77.96	8	3260	1
2019.05.03	77.96	78.10	77.96	78.10	4	840	1
2019.05.06	76.78	77.26	76.78	77.26	31	2700	1
2019.05.07	76.42	77.00	76.42	76.76	11	11170	1
2019.05.08	77.86	78.07	77.83	77.91	10	1240	1
2019.05.09	77.83	77.83	77.83	77.83	1	1000	1
2019.05.10	77.33	77.79	77.33	77.79	6	9030	1
2019.05.13	76.00	76.12	75.80	75.97	18	16150	1
2019.05.14	75.97	75.97	75.97	75.97	1	10	1
2019.05.15	74.35	75.07	74.35	74.86	12	710	1
2019.05.16	74.32	74.32	73.80	73.80	13	3170	1
2019.05.17	73.04	73.04	72.70	72.70	9	12760	1
2019.05.20	74.55	74.69	74.55	74.66	6	1990	1
2019.05.21	76.25	76.48	76.25	76.32	11	19050	1
2019.05.22	76.77	76.91	76.54	76.55	15	1590	1
2019.05.23	76.65	76.65	76.49	76.49	3	1100	1
2019.05.24	76.00	76.00	75.98	75.98	3	390	1
2019.05.27	76.80	76.81	76.74	76.74	4	210	1
2019.05.28	77.79	77.79	77.69	77.69	5	120	1
2019.05.29	79.99	79.99	77.96	78.35	25	2630	1
2019.05.30	78.78	78.80	78.77	78.80	4	1090	1
