<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	84.60	88.26	84.35	87.90	12751	5021260	1
2019.01.03	87.55	88.40	86.80	88.00	37643	4300220	1
2019.01.04	88.20	89.45	87.63	88.50	16496	2438230	1
2019.01.07	88.65	89.32	88.06	88.48	27872	2891350	1
2019.01.08	88.75	88.97	87.87	88.83	18617	3441770	1
2019.01.09	89.31	90.37	89.12	90.32	47087	8279800	1
2019.01.10	90.14	90.69	89.83	90.42	8788	2659920	1
2019.01.11	90.50	90.54	90.02	90.38	20522	2551310	1
2019.01.14	90.50	91.21	90.10	91.21	20425	4730780	1
2019.01.15	91.24	91.33	90.11	90.61	23156	3142940	1
2019.01.16	90.60	91.15	90.38	91.15	15468	2396160	1
2019.01.17	91.19	92.30	90.63	91.97	24777	6254260	1
2019.01.18	92.13	93.00	92.13	92.61	24744	4320330	1
2019.01.21	92.48	92.64	91.51	92.64	38885	4982260	1
2019.01.22	92.21	92.70	91.30	91.40	24196	4479240	1
2019.01.23	92.00	93.21	92.00	93.10	18915	5897270	1
2019.01.24	93.10	94.17	92.97	94.17	19382	3726980	1
2019.01.28	92.50	92.84	91.41	92.08	23696	5478580	1
2019.01.29	92.80	93.34	92.19	92.19	15069	1986330	1
2019.01.30	93.44	93.67	92.42	93.52	26862	3607100	1
2019.01.31	94.26	94.95	94.00	94.00	33492	4923640	1
2019.02.01	94.10	94.58	93.60	94.36	25305	4287810	1
2019.02.04	94.00	95.10	93.40	95.03	18627	4336000	1
2019.02.05	94.60	95.10	94.15	94.80	20516	3713770	1
2019.02.06	93.83	93.83	91.27	91.27	39519	6915540	1
2019.02.07	92.00	92.25	90.18	91.00	27638	4777200	1
2019.02.08	90.48	92.14	90.08	91.70	57763	5346560	1
2019.02.11	92.31	92.32	90.38	90.99	14621	4242030	1
2019.02.12	92.11	93.17	91.74	92.45	54662	3588110	1
2019.02.13	93.03	93.33	91.97	92.60	70406	6228610	1
2019.02.14	92.85	94.54	91.45	94.34	58520	7198500	1
2019.02.15	94.15	94.80	93.58	94.04	29119	5914860	1
2019.02.18	93.38	93.69	92.77	92.98	23593	4207220	1
2019.02.19	93.50	94.71	93.38	93.78	31881	4621560	1
2019.02.20	94.59	95.04	93.07	93.17	25092	5007020	1
2019.02.21	93.59	93.74	92.31	93.58	26678	3893250	1
2019.02.22	94.23	94.44	93.52	94.44	22486	3707580	1
2019.02.25	94.61	94.69	93.65	93.77	32078	4586540	1
2019.02.26	93.98	94.45	93.63	94.12	31428	3401590	1
