<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	87.92	91.83	87.81	91.45	222	609860	1
2019.01.03	91.09	91.99	90.34	91.92	355	511860	1
2019.01.04	92.00	93.12	90.40	92.28	202	328880	1
2019.01.07	91.75	92.92	91.74	92.14	125	547660	1
2019.01.08	92.55	92.55	91.66	92.42	38	178070	1
2019.01.09	92.93	94.09	92.76	94.03	135	898040	1
2019.01.10	94.03	94.37	93.62	94.18	47	229630	1
2019.01.11	94.15	94.25	93.80	94.03	136	338780	1
2019.01.14	94.94	94.94	93.95	94.93	76	58170	1
2019.01.15	94.77	95.11	93.85	94.51	372	525690	1
2019.01.16	94.51	94.78	94.12	94.76	771	460580	1
2019.01.17	95.00	96.11	94.39	95.81	319	570900	1
2019.01.18	96.35	96.82	96.00	96.56	266	502230	1
2019.01.21	96.20	96.40	95.25	96.39	189	336080	1
2019.01.22	96.32	96.99	95.07	95.55	378	604820	1
2019.01.23	96.01	96.97	95.96	96.94	269	136670	1
2019.01.24	97.10	98.11	97.07	98.11	135	291020	1
2019.01.28	97.40	97.40	95.35	95.91	263	641890	1
2019.01.29	96.50	97.19	96.08	96.08	80	241250	1
2019.01.30	96.33	97.60	96.24	97.46	1072	277300	1
2019.01.31	98.10	98.85	97.86	97.86	228	533110	1
2019.02.01	98.13	98.46	97.57	98.33	160	546260	1
2019.02.04	98.25	99.06	97.27	99.06	131	361090	1
2019.02.05	99.06	99.08	98.18	98.78	130	686060	1
2019.02.06	98.30	98.86	95.09	95.09	163	158500	1
2019.02.07	95.58	98.00	94.00	94.86	239	855210	1
2019.02.08	94.70	96.70	93.83	95.70	510	403020	1
2019.02.11	96.49	96.49	94.26	94.77	200	836240	1
2019.02.12	95.82	98.00	95.59	96.62	878	1015180	1
2019.02.13	97.25	97.25	95.71	96.29	637	525700	1
2019.02.14	97.89	98.38	95.33	98.38	310	290310	1
2019.02.15	98.45	98.58	97.49	97.98	196	211050	1
2019.02.18	98.00	98.10	96.63	96.96	1329	3595400	1
2019.02.19	98.82	98.82	97.40	97.98	195	259730	1
2019.02.20	98.40	98.98	96.97	97.01	377	196340	1
2019.02.21	97.98	97.98	96.20	97.38	3095	1764730	1
2019.02.22	97.90	98.34	97.50	98.34	121	319490	1
2019.02.25	98.50	98.60	97.56	97.74	128	256650	1
2019.02.26	98.90	98.90	97.69	98.01	181	387570	1
2019.02.27	98.02	98.15	97.49	97.71	78	214930	1
2019.02.28	97.72	97.95	95.85	96.07	125	413690	1
2019.03.01	96.65	96.65	94.80	95.08	137	327230	1
2019.03.06	95.79	95.79	94.39	94.60	1142	972510	1
2019.03.07	95.06	95.06	94.11	94.82	125	931950	1
2019.03.08	94.30	95.88	93.67	95.83	233	486830	1
2019.03.11	96.69	98.52	96.30	98.52	165	89940	1
2019.03.12	98.52	98.62	97.88	98.23	218	136100	1
2019.03.13	98.52	99.60	97.85	99.40	222	476660	1
2019.03.14	99.42	99.45	98.27	99.10	118	243890	1
2019.03.15	99.10	99.86	99.07	99.53	104	210970	1
2019.03.18	100.00	100.50	99.60	100.48	237	147820	1
2019.03.19	100.45	100.92	99.82	100.09	227	253110	1
2019.03.20	100.15	100.19	98.35	98.37	241	207470	1
2019.03.21	98.37	98.37	95.91	97.10	587	1419180	1
2019.03.22	96.47	96.47	93.75	94.09	353	99010	1
2019.03.25	93.80	95.50	93.45	94.13	241	403530	1
