<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	151.09	157.04	150.58	155.90	203	215000	1
2019.01.03	155.89	156.90	153.99	156.90	168	14990	1
2019.01.04	155.01	158.79	155.01	157.74	182	21810	1
2019.01.07	157.75	158.52	155.01	156.85	149	13480	1
2019.01.08	158.35	158.35	156.28	157.93	167	20570	1
2019.01.09	158.45	160.57	158.45	160.45	351	76570	1
2019.01.10	160.44	161.22	159.70	160.80	173	24700	1
2019.01.11	160.78	160.91	160.12	160.71	157	37450	1
2019.01.14	160.96	161.88	160.15	161.88	284	21540	1
2019.01.15	161.47	161.88	160.00	160.90	243	27160	1
2019.01.16	160.51	161.80	160.51	161.80	168	24820	1
2019.01.17	161.80	163.95	160.90	163.22	200	28930	1
2019.01.18	163.99	165.19	163.99	164.55	194	17240	1
2019.01.21	165.00	165.00	162.69	164.54	212	18010	1
2019.01.22	163.99	164.38	162.33	163.00	194	38650	1
2019.01.23	164.49	165.36	163.79	165.36	182	23640	1
2019.01.24	165.65	167.03	165.37	167.03	179	20640	1
2019.01.28	164.01	164.82	162.14	163.27	382	36190	1
2019.01.29	163.28	165.57	163.23	163.23	295	29200	1
2019.01.30	164.84	165.90	163.93	165.45	191	21800	1
2019.01.31	166.79	168.41	166.32	166.32	233	33220	1
2019.02.01	166.81	167.46	164.65	167.38	437	38180	1
2019.02.04	167.38	168.71	165.79	168.71	263	23900	1
2019.02.05	168.51	168.74	167.00	167.95	357	82990	1
2019.02.06	167.73	167.73	161.95	161.95	424	72860	1
2019.02.07	164.55	164.55	160.01	161.29	174	25320	1
2019.02.08	161.73	163.10	159.88	163.10	156	23590	1
2019.02.11	164.00	164.00	160.58	161.37	262	25580	1
2019.02.12	163.56	165.20	163.00	164.46	223	23650	1
2019.02.13	165.32	165.34	163.52	164.12	185	17740	1
2019.02.14	164.71	167.67	162.50	167.67	168	11500	1
2019.02.15	167.67	168.05	166.35	167.06	181	20370	1
