<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	87.40	89.12	87.00	89.00	1283	201750	1
2019.01.03	89.10	89.98	88.60	89.00	972	113960	1
2019.01.04	89.97	93.43	89.20	90.50	1101	170850	1
2019.01.07	90.50	90.96	88.03	88.20	1568	262070	1
2019.01.08	89.00	89.84	88.23	88.83	974	106870	1
2019.01.09	89.88	89.88	88.77	89.20	549	107300	1
2019.01.10	89.20	89.97	89.20	89.95	18241	610330	1
2019.01.11	89.95	90.58	89.94	90.53	9548	308150	1
2019.01.14	90.58	93.65	90.36	91.85	15966	756240	1
2019.01.15	92.13	92.88	91.49	91.75	3034	117110	1
2019.01.16	91.99	92.00	91.01	91.40	7711	219280	1
2019.01.17	91.51	92.74	91.30	92.40	722	60850	1
2019.01.18	92.48	92.99	92.19	92.22	455	66550	1
2019.01.21	92.97	92.97	91.50	92.30	4685	94110	1
2019.01.22	92.29	92.77	91.74	92.00	866	75200	1
2019.01.23	92.07	93.09	92.00	93.09	381	34150	1
2019.01.24	93.25	94.60	93.25	94.60	3942	122690	1
2019.01.28	94.00	94.01	92.70	93.34	1722	87020	1
2019.01.29	93.81	94.18	93.60	94.00	336	48510	1
2019.01.30	94.25	95.52	94.25	95.45	750	107070	1
2019.01.31	95.95	96.49	95.15	95.30	813	109750	1
2019.02.01	95.37	96.08	95.36	95.75	535	45230	1
2019.02.04	95.75	96.20	95.34	96.20	441	47370	1
2019.02.05	96.30	96.39	95.60	96.25	1821	65790	1
2019.02.06	95.70	96.26	93.60	93.70	887	148260	1
2019.02.07	94.32	95.61	91.97	92.65	1348	279170	1
2019.02.08	92.40	93.69	91.82	93.55	4493	401410	1
2019.02.11	93.90	93.92	92.17	93.00	14137	288060	1
2019.02.12	93.89	93.95	92.89	93.60	1855	78450	1
2019.02.13	93.91	95.28	93.24	93.40	434	47090	1
2019.02.14	94.15	95.00	92.75	95.00	4020	202810	1
2019.02.15	95.00	95.08	94.14	94.85	360	31230	1
2019.02.18	94.99	94.99	94.00	94.50	454	99920	1
2019.02.19	94.99	95.41	94.82	94.90	373	46400	1
2019.02.20	95.02	95.50	93.51	93.89	459	160800	1
2019.02.21	93.89	94.48	92.50	93.13	7474	449690	1
2019.02.22	93.87	94.28	92.90	93.89	218	31070	1
2019.02.25	94.47	94.49	93.70	93.95	414	31960	1
2019.02.26	94.28	94.28	93.45	93.50	414	48900	1
2019.02.27	93.83	94.12	93.31	94.05	210	23710	1
2019.02.28	94.07	94.98	93.14	93.37	304	75490	1
2019.03.01	93.39	94.47	92.61	93.50	327	22740	1
2019.03.06	93.21	93.47	92.28	92.65	206	11030	1
2019.03.07	92.65	92.81	91.72	91.85	4632	120560	1
2019.03.08	91.79	93.98	91.50	93.80	1257	55750	1
2019.03.11	94.00	95.40	93.99	95.40	475	36670	1
2019.03.12	95.47	95.50	94.90	95.50	8230	178590	1
2019.03.13	95.50	95.88	94.65	95.85	6639	193910	1
2019.03.14	95.86	96.19	95.34	95.87	217	16360	1
2019.03.15	95.76	96.74	95.75	95.88	556	28190	1
2019.03.18	95.89	96.89	95.89	96.45	241	22910	1
2019.03.19	96.61	97.26	96.50	97.00	299	23340	1
2019.03.20	97.00	97.00	95.75	95.95	290	183530	1
2019.03.21	96.00	96.98	93.60	94.70	303	26430	1
2019.03.22	94.70	94.98	92.12	92.98	684	313730	1
2019.03.25	92.88	93.30	92.12	92.90	422	24470	1
2019.03.26	93.05	94.79	92.87	93.64	277	16310	1
2019.03.27	93.41	93.45	90.18	90.18	430	105010	1
2019.03.28	90.63	92.95	90.00	92.95	594	99720	1
2019.03.29	93.42	94.72	92.55	93.69	333	25490	1
2019.04.01	93.79	94.80	93.79	94.76	924	42960	1
2019.04.02	94.76	95.32	93.65	94.30	322	36940	1
2019.04.03	94.51	94.89	93.36	93.60	271	54430	1
2019.04.04	94.00	95.16	93.61	95.00	675	39340	1
2019.04.05	95.04	96.08	95.04	95.80	291	22950	1
2019.04.08	95.80	96.11	95.20	95.20	262	17380	1
2019.04.09	95.08	95.08	93.61	94.50	713	66430	1
2019.04.10	95.35	95.35	94.03	94.55	157	17460	1
2019.04.11	94.50	94.65	92.96	93.47	784	83520	1
2019.04.12	92.99	93.59	92.00	92.00	407	27360	1
2019.04.15	92.89	93.40	92.18	92.75	338	21120	1
2019.04.16	92.75	93.58	92.38	93.25	252	18200	1
2019.04.17	93.60	93.89	91.86	92.35	252	30470	1
2019.04.18	92.77	93.27	91.80	93.20	343	28500	1
2019.04.22	93.21	93.69	92.75	93.05	225	10720	1
2019.04.23	93.50	94.48	93.50	94.45	235	30790	1
2019.04.24	94.60	94.95	92.01	93.79	361	120550	1
2019.04.25	93.79	94.79	93.15	94.79	213	10440	1
2019.04.26	94.99	94.99	94.16	94.60	237	17600	1
2019.04.29	95.00	95.39	94.32	94.70	483	22190	1
2019.04.30	94.90	95.05	94.21	95.05	164	13350	1
2019.05.02	94.84	94.84	94.10	94.80	363	61930	1
2019.05.03	95.50	95.50	94.24	95.25	301	34630	1
2019.05.06	94.26	94.26	93.25	94.20	338	15210	1
2019.05.07	94.09	94.09	92.41	93.90	770	38420	1
2019.05.08	93.91	95.39	93.91	95.10	509	25370	1
2019.05.09	94.89	95.23	94.04	95.15	819	30660	1
2019.05.10	95.15	95.38	93.90	94.60	539	49440	1
2019.05.13	94.00	94.00	91.81	92.14	2788	145750	1
2019.05.14	93.08	93.98	91.50	92.10	1043	255300	1
